Tap_Gesture,tonflinfo,9,to,2,22.2222222222222,nflinfo,7,77.7777777777778,27,10,90.9090909090909,1,9.09090909090909,0,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,putcy,5,-,-,0,putcy,5,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,outfitsmchughmcguire,20,-,-,0,outfitsmchughmcguire,20,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,clashingredlightmeansstoops,27,-,-,0,clashingredlightmeansstoops,27,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,pammetmetnvi'd,14,-,-,0,pammetmetnvi'd,14,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,ofnc,4,-,-,0,ofnc,4,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Tap_Gesture,lbyennch,8,h,1,12.5,lbyennc,7,87.5,0,0,0,0,0,0,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,low,3,-,-,0,low,3,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,pbj,3,-,-,0,pbj,3,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
Gesture,less,4,-,-,0,less,4,100,-,-,-,-,-,-,M_D_Y H_M_S - 20-May-22 - 5_00_59 PM
